"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.countPeople"
"34_82_231+0+9504","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 11:03:46.000",21
"34_82_231+0+9503","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:58:46.000",21
"34_82_231+0+9502","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:53:46.000",21
"34_82_231+0+9501","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:48:46.000",21
"34_82_231+0+9500","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:43:46.000",21
"34_82_231+0+9499","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:38:46.000",21
"34_82_231+0+9498","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:33:45.000",21
"34_82_231+0+9497","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:28:45.000",21
"34_82_231+0+9496","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:23:45.000",21
"34_82_231+0+9495","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:18:45.000",21
"34_82_231+0+9494","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:13:44.000",21
"34_82_231+0+9493","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:11:05.000",21
"34_82_231+0+9492","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:11:04.000",20
"34_82_231+0+9490","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 10:10:55.000",18
