"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count","value.heap"
"7_89_234+0+4221","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:05:00.197",41,"198,408"
"7_89_234+0+4222","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:05:00.197",41,"198,408"
"7_89_234+0+4218","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:00:00.187",41,"195,088"
"7_89_234+0+4219","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 13:00:00.187",41,"195,088"
"7_89_234+0+4216","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:50:00.167",41,"198,412"
"7_89_234+0+4217","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:50:00.167",41,"198,412"
"7_89_234+0+4214","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:45:00.157",41,"198,400"
"7_89_234+0+4215","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:45:00.157",41,"198,400"
"7_89_234+0+4212","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:40:00.147",41,"198,416"
"7_89_234+0+4213","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:40:00.147",41,"198,416"
"7_89_234+0+4210","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:35:00.137",41,"198,416"
"7_89_234+0+4211","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:35:00.137",41,"198,416"
"7_89_234+0+4208","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:30:00.127",41,"198,424"
"7_89_234+0+4209","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:30:00.127",41,"198,424"
"7_89_234+0+4206","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:25:00.117",41,"198,412"
"7_89_234+0+4207","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:25:00.117",41,"198,412"
"7_89_234+0+4204","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:20:00.107",41,"198,408"
"7_89_234+0+4205","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:20:00.107",41,"198,408"
"7_89_234+0+4202","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:15:00.097",41,"198,412"
"7_89_234+0+4203","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:15:00.097",41,"198,412"
"7_89_234+0+4200","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:10:00.087",0,"198,412"
"7_89_234+0+4201","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:10:00.087",0,"198,412"
"7_89_234+0+4198","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:05:00.077",0,"198,396"
"7_89_234+0+4199","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:05:00.077",0,"198,396"
"7_89_234+0+4196","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:00:00.067",21,"198,412"
"7_89_234+0+4197","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 12:00:00.067",21,"198,412"
"7_89_234+0+4194","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 11:55:00.057",21,"198,416"
"7_89_234+0+4195","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 11:55:00.057",21,"198,416"
"7_89_234+0+4192","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 11:50:00.047",21,"198,416"
"7_89_234+0+4193","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 11:50:00.047",21,"198,416"
"7_89_234+0+4190","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 11:45:00.037",21,"198,416"
"7_89_234+0+4191","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 11:45:00.037",21,"198,416"
"7_89_234+0+4188","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 11:40:00.027",21,"198,416"
"7_89_234+0+4189","7_89_234","-","_doc",89,89,"iot_platform","iot_platform",234,234,"showroom-sensor","showroom-sensor","Jun 30, 2023 @ 11:40:00.027",21,"198,416"
