"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.count","value.height"
"37_84_226+0+10673","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:10:00.008",0,0
"37_84_226+0+10672","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 04:04:59.992",0,0
"37_84_226+0+10671","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:59:59.992",0,0
"37_84_226+0+10670","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:54:59.992",0,0
"37_84_226+0+10669","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:49:59.992",0,0
"37_84_226+0+10668","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:44:59.992",0,0
"37_84_226+0+10667","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:39:59.992",0,0
"37_84_226+0+10666","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:34:59.992",0,0
"37_84_226+0+10665","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:29:59.992",0,0
"37_84_226+0+10664","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:24:59.992",0,0
"37_84_226+0+10663","37_84_226","-","_doc",84,84,"iot_platform","iot_platform",226,226,GrafZahl,GrafZahl,"Jun 30, 2023 @ 03:19:59.992",0,0
